name,drugbank_id,canonical_smiles,inchikey,formula,molecular_weight,formal_charge,provenance_source
Lenvatinib,DB09078,COc1cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc2cc1C(N)=O,GXRUMTLSPKCNBY-UHFFFAOYSA-N,C21H19ClN4O4,426.86,0,https://go.drugbank.com/drugs/DB09078
Pazopanib,DB06589,Cc1ccc(Nc2ncc(C)c(Nc3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,UPVGPCPYUYQZAU-UHFFFAOYSA-N,C21H23N7O2S,437.529,0,https://go.drugbank.com/drugs/DB06589
Axitinib,DB06626,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,RITAVMQDGBJQJZ-FMIVXFBMSA-N,C22H18N4OS,386.48,0,https://go.drugbank.com/drugs/DB06626
Cediranib,DB06654,COc1cc2c(Nc3ccc(Cl)c(F)c3)ncnc2cc1OCC1CCN(C)CC1,FNDYMRHOOZTDKF-UHFFFAOYSA-N,C22H24ClFN4O2,430.911,0,https://go.drugbank.com/drugs/DB06654
Abemaciclib,DB12001,CCN1CCN(Cc2ccc(Nc3ncc(F)c(Nc4ccc(C#N)c(C(C)C)n4)n3)nc2)CC1,FOYWUVLOOJKVSO-UHFFFAOYSA-N,C25H30FN9,475.576,0,https://go.drugbank.com/drugs/DB12001
Palbociclib,DB09073,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,VLZDGDXNRBWONV-UHFFFAOYSA-N,C23H29N7O,419.533,0,https://go.drugbank.com/drugs/DB09073
Ribociclib,DB11730,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,RHXHGRAEPCAFML-UHFFFAOYSA-N,C23H30N8O,434.548,0,https://go.drugbank.com/drugs/DB11730
Cobimetinib,DB09565,OC1(c2c(F)c(F)c(F)c(Nc3c(F)cccc3I)c2F)CN(Cc2cc(F)ccc2I)CCO1,BIFPHVKBRULUON-UHFFFAOYSA-N,C23H16F6I2N2O2,720.189,0,https://go.drugbank.com/drugs/DB09565
Trametinib,DB08911,Cc1c(-c2ccccc2F)c(=O)n(-c2ccccc2NC(=O)C2CC2)c(=O)n1-c1ccc(I)cc1F,AZZZPQNYKQUESW-UHFFFAOYSA-N,C27H20F2IN3O3,599.375,0,https://go.drugbank.com/drugs/DB08911
Selumetinib,DB11928,NC(=O)c1c(OCC(O)CO)cc(F)c(Nc2ccc(I)cc2F)c1Cl,XRHNNZIEZXBMGX-UHFFFAOYSA-N,C16H14ClF2IN2O4,498.651,0,https://go.drugbank.com/drugs/DB11928
Dabrafenib,DB08912,CC(C)(C)c1nc(-c2c[nH]c3ncc(F)cc23)nc(S(=O)(=O)Nc2c(F)cccc2F)n1,YCOLXYHTPZJJBI-UHFFFAOYSA-N,C20H17F3N6O2S,462.457,0,https://go.drugbank.com/drugs/DB08912
Everolimus,DB01590,COCCOC1CC2CCC(C)C(O)(C1)C(=O)C(=O)N1CCCCC1C(=O)OC(CC=CC=CC=C(C)CC(C)CC(OC)C(C)=O)C(C)(OC)CC2,FYUSUGKVSXMKFB-UHFFFAOYSA-N,C42H67NO10,745.995,0,https://go.drugbank.com/drugs/DB01590
Vorinostat,DB02546,O=C(CCCCCCC(=O)Nc1ccccc1)NO,WAEXFXRVDQXREF-UHFFFAOYSA-N,C14H20N2O3,264.325,0,https://go.drugbank.com/drugs/DB02546
Bortezomib,DB00188,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,GXJABQQUPOEUTA-UHFFFAOYSA-N,C19H25BN4O4,384.245,0,https://go.drugbank.com/drugs/DB00188
Marizomib,DB12347,CC[C@]1(C)[C@@H](O)N2C(=O)[C@@H](CCCl)[C@@H]21,HYEYGTWFTVVUBT-WDQPUEAGSA-N,C10H16ClNO2,217.696,0,https://go.drugbank.com/drugs/DB12347
Entrectinib,DB12044,COc1cc(Cc2cc3c(cnn3-c3cccc(F)c3)nc2N2CCC(N3CCOCC3)CC2)cc(OC)c1,YBWMJQLZTSJKBD-UHFFFAOYSA-N,C30H34FN5O3,531.632,0,https://go.drugbank.com/drugs/DB12044
Larotrectinib,DB12984,O=C(Nc1ncc2cnn(-c3cccc(F)c3)c2n1)[C@H]1CNCCO1,BHHPIBAKPAYZHZ-CYBMUJFWSA-N,C16H15FN6O2,342.334,0,https://go.drugbank.com/drugs/DB12984
Paxalisib,DB15438,CC(C)(C)c1nc(-c2cnc(N3CCOCC3)nc2N)nc(N2CCOCC2)n1,SONHLRRQOIXJGF-UHFFFAOYSA-N,C19H28N8O2,400.487,0,https://go.drugbank.com/drugs/DB15438
Buparlisib,DB09088,Cc1nc(-c2cnc3[nH]ccc3c2)nc(N2CCOCC2)c1C(F)(F)F,XTWCNKAJRXRJRQ-UHFFFAOYSA-N,C17H16F3N5O,363.343,0,https://go.drugbank.com/drugs/DB09088
