name,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,E_HOMO,E_LUMO,Gap_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega,Real_Vina_Docking_Score_kcal_mol,Delta_E_ads_kcal_mol,Target_DeltaG_bind
Afatinib,Pan-ErbB/EGFR TKI,DB08907,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(Cl)c(F)c3)ncnc2cc1O[C@H]4CCOC4,485.947,4.39,-5.646,1.0992,7,2,88.61,8,4,3,201.28,0.292,-5.976,-1.53,4.446,2.223,0.2249,3.753,-3.753,3.168,-5.467,-54.2268,-13.7867936
Dacomitinib,2nd-Gen EGFR TKI,DB11964,COc1cc2c(Nc3ccc(Cl)c(F)c3)ncnc2cc1NC(=O)/C=C/CN4CCCCC4,469.948,5.155,-6.094,0.3781,6,2,79.38,7,4,3,196.167,0.292,-6.144,-1.768,4.376,2.188,0.2285,3.956,-3.956,3.576,-5.857,-53.07002,-14.11664104
Brigatinib,ALK/EGFR TKI,DB12457,COc1cc(Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)ccc1N4CCN(C)CC4,500.971,4.626,-5.953,0.558,8,2,82.62,7,4,3,205.224,0.333,-6.028,-1.473,4.555,2.278,0.2195,3.75,-3.75,3.087,-6.022,-55.31343999999999,-14.398298879999999
Regorafenib,Multikinase TKI (Recurrent GBM),DB08896,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,482.821,5.689,-6.827,0.0718,4,3,92.35,5,3,3,189.277,0.095,-6.142,-2.064,4.078,2.039,0.2452,4.103,-4.103,4.128,-6.207,-51.90662,-14.40614424
Cediranib,Pan-VEGFR/PDGFR TKI,DB06692,COc1cc2c(Nc3ccc(F)c(C)c3)ncnc2cc1OCC3CCN(C)CC3,410.493,4.55,-5.411,1.5947,6,1,59.51,6,4,3,175.59,0.391,-6.131,-1.659,4.472,2.236,0.2236,3.895,-3.895,3.392,-5.828,-50.885400000000004,-13.9740408
Cabozantinib,MET/VEGFR2 TKI,DB08875,COc1cc2c(Nc3ccc(Oc4ccc(NC(=O)C5(CC5)C(=O)Nc6ccc(F)cc6)cc4)c(F)c3)ncnc2cc1OC,611.605,6.819,-7.884,0.008,8,3,123.7,10,6,5,255.917,0.152,-6.49,-2.027,4.463,2.231,0.2241,4.259,-4.259,4.064,-6.059,-63.50502,-14.86126104
Lenvatinib,VEGFR/FGFR TKI,DB09078,COc1cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc2cc1C(=O)N,426.86,4.072,-5.211,2.627,5,3,115.57,6,4,3,176.867,0.19,-5.786,-1.673,4.113,2.056,0.2431,3.729,-3.729,3.382,-5.49,-52.01202,-13.69462504
Sunitinib,VEGFR/PDGFR TKI,DB01268,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc23)c1C,398.482,3.335,-4.443,14.3707,3,3,77.23,7,3,2,169.73,0.364,-5.574,-1.66,3.913,1.957,0.2555,3.617,-3.617,3.343,-5.69,-47.7838,-13.674757600000001
Sorafenib,RAF/VEGFR TKI,DB00398,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,464.831,5.55,-6.628,0.1094,4,3,92.35,5,3,3,185.111,0.095,-6.111,-2.039,4.072,2.036,0.2456,4.075,-4.075,4.078,-6.395,-51.656659999999995,-14.581146319999998
Pazopanib,VEGFR TKI,DB06589,Cc1ccc(Nc2ncnc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(=O)(=O)N,438.517,2.534,-4.565,11.9327,8,2,131.92,5,4,4,179.364,0.2,-5.617,-1.176,4.441,2.221,0.2252,3.397,-3.397,2.598,-6.081,-55.861839999999994,-14.485815679999998
Axitinib,Selective VEGFR TKI,DB06626,CNC(=O)c1ccccc1Sc2ccc3c(/C=C/c4ccccn4)[nH]nc3c2,386.48,4.639,-5.569,1.0431,4,2,70.67,5,4,4,166.449,0.045,-6.081,-1.955,4.126,2.063,0.2424,4.018,-4.018,3.913,-5.939,-51.68693999999999,-14.12672088
Dabrafenib,BRAF V600E Inhibitor,DB08912,CC(C)(C)c1nc(c(s1)c2ccnc(n2)N)c3c(F)c(F)cc(c3F)NS(=O)(=O)c4c(F)cccc4F,555.554,5.643,-7.25,0.0313,7,2,110.86,5,4,4,211.84,0.174,-6.301,-1.836,4.466,2.233,0.2239,4.069,-4.069,3.707,-5.421,-56.9604,-13.8829408
Trametinib,MEK1/2 Inhibitor,DB08911,Cc1c(Nc2ccc(I)cc2F)c(=O)n(C)c(=O)n1c3ccc(NC(=O)C)cc3F,526.281,3.429,-5.739,0.9588,4,2,85.13,4,3,3,183.042,0.15,-5.764,-1.657,4.107,2.054,0.2435,3.711,-3.711,3.353,-5.659,-50.582519999999995,-13.789291039999998
Selumetinib,MEK1/2 Inhibitor,DB11640,CN1C=NC2=C1C=C(NC3=C(F)C=C(Br)C=C3)C(C(=O)NO)=C2Cl,413.634,3.991,-5.461,1.4316,4,3,79.18,3,3,3,148.885,0.067,-5.768,-1.758,4.01,2.005,0.2494,3.763,-3.763,3.532,-5.1,-49.48309999999999,-13.173121199999999
Cobimetinib,MEK Inhibitor,DB09065,OC1(CCNCC1)C(=O)Nc2c(F)cc(I)c(F)c2Nc3ccc(F)c(I)c3,617.147,4.11,-6.485,0.2021,4,4,73.39,4,3,2,186.298,0.278,-5.624,-1.7,3.924,1.962,0.2548,3.662,-3.662,3.417,-5.167,-50.57788,-13.29704976
Buparlisib,Pan-PI3K Inhibitor (BBB Active),DB12001,CC(C)(C)c1nc(c(s1)c2ccnc(n2)N)c3c(F)c(F)cc(c3F)NS(=O)(=O)c4c(F)cccc4F,555.554,5.643,-7.25,0.0313,7,2,110.86,5,4,4,211.84,0.174,-6.301,-1.836,4.466,2.233,0.2239,4.069,-4.069,3.707,-5.833,-56.9604,-14.2949408
Paxalisib,PI3K/mTOR Dual Inhibitor (GBM-Specific),DB15227,CC1(C)Cc2c(N3CCOCC3)nc(N4CCOCC4)nc2O1,320.393,0.863,-2.423,1208.8374,7,0,59.95,2,4,1,136.093,0.75,-5.34,-0.735,4.605,2.302,0.2172,3.038,-3.038,2.004,-5.188,-44.21558,-12.987210159999998
Lapatinib,EGFR/HER2 Dual TKI (CNS Active),DB01259,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,581.069,6.139,-7.324,0.0275,8,2,106.35,11,5,5,235.65,0.172,-6.461,-1.905,4.556,2.278,0.2195,4.183,-4.183,3.841,-6.133,-61.339,-14.822627999999998
Palbociclib,CDK4/6 Inhibitor,DB09073,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C5CCCC5)c1=O,447.543,2.966,-4.597,11.3136,8,2,105.04,5,5,3,191.809,0.458,-5.662,-1.174,4.489,2.244,0.2228,3.418,-3.418,2.603,-6.409,-54.508539999999996,-14.743444079999998
Abemaciclib,CDK4/6 Inhibitor (CNS Active),DB12001,CCN1CCN(Cc2ccc(Nc3ncc(F)c(c4cc5n(C(C)C)c(C)cc5nc4)n3)cn2)CC1,488.615,4.798,-6.022,0.4644,7,1,75.0,7,5,4,210.769,0.407,-6.236,-1.684,4.552,2.276,0.2197,3.96,-3.96,3.444,-6.455,-55.94614,-14.86419928
Ribociclib,CDK4/6 Inhibitor,DB09075,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C5CCCC5,434.548,2.796,-4.41,16.9087,7,2,91.21,5,5,3,187.397,0.478,-5.625,-1.243,4.382,2.191,0.2282,3.434,-3.434,2.692,-5.717,-53.39382,-13.99347864
Larotrectinib,TRK Inhibitor (NTRK Gliomas),DB12805,OC1CCN(CC1)c2ccc(NC(=O)c3nn(C)cc3Nc4ccnc(c4)c5c(F)cccc5F)cc2,504.541,4.717,-6.136,0.3688,6,3,95.31,6,5,4,212.125,0.222,-5.978,-1.769,4.209,2.104,0.2376,3.873,-3.873,3.565,-5.529,-57.0775,-13.997029999999999
Entrectinib,TRK/ROS1/ALK TKI (CNS Active),DB12453,COc1cc(Cc2ccc(F)c(F)c2)c(Nc3cc(N4CCN(C)CC4)ccn3)nc1C(=O)NC5CCNCC5,551.642,3.331,-5.275,2.9288,8,3,94.65,8,5,3,232.493,0.414,-5.623,-1.24,4.383,2.192,0.2281,3.431,-3.431,2.686,-5.724,-57.89957999999999,-14.23477816
Marizomib,Salinosporamide A (BBB Proteasome Inh),DB05018,CC[C@H]1C[C@@H](Cl)[C@@H]2[C@H](C)C(=O)N2[C@@]1(O)C(=O)C=C,271.744,1.314,-2.155,1902.5591,3,1,57.61,3,2,0,111.598,0.692,-5.269,-1.137,4.133,2.066,0.242,3.203,-3.203,2.482,-3.858,-38.19588,-11.34418576
Vorinostat,HDAC Inhibitor (Epigenetic GBM Modulator),DB02546,ONC(=O)CCCCCCC(=O)Nc1ccccc1,264.325,2.471,-3.248,149.4644,3,3,78.43,8,1,1,112.522,0.429,-5.334,-1.425,3.909,1.954,0.2558,3.379,-3.379,2.921,-3.749,-42.25132,-11.44606864
